BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,7607613,20601662,12994049,611585,24105036
2,28487445,41749904,13262459,611585,24775177
3,50449358,63755737,13306379,611585,25550958
4,72581596,85857621,13276025,611585,25551229
5,94708197,107934666,13226469,611585,25551465
6,116578989,129887321,13308332,611585,25550895
7,138380002,151673927,13293925,611585,25551498
8,160379379,173752937,13373558,611585,25550594
9,182307973,195671531,13363558,611585,25550757
10,204314873,217637716,13322843,611585,25551057
11,226756265,239983152,13226887,611585,25551883
12,248487072,261818111,13331039,611585,25551791
13,270414499,283724414,13309915,611585,25551023
14,292264598,305452648,13188050,611585,25518383
15,314183526,327505837,13322311,611585,25433023
16,336351946,349604008,13252062,611585,25433642
17,360129691,373419114,13289423,611585,27819945
18,383693803,396778148,13084345,611585,29103277
19,406537717,419512630,12974913,611585,29103356
20,429276191,442255903,12979712,611585,29104586
21,452028569,465044710,13016141,611585,29103057
22,475193155,488257066,13063911,611585,29104040
23,498047805,511109370,13061565,611585,29103410
24,520872836,534019364,13146528,611585,29103387
25,544175232,557169033,12993801,611585,29103318
26,566955406,579990745,13035339,611585,29102766
27,589792237,603050202,13257965,611585,29102933
28,612473782,625413092,12939310,611585,28959270
29,634721209,647724843,13003634,611585,28851427
30,657062152,670144716,13082564,611585,28850399
31,679481644,692436021,12954377,611585,28850080
32,701760630,714774050,13013420,611585,28850554
33,714789304,714791900,2596,3,643
