BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,75244,81194,5950,85,3200
2,135952,141379,5427,85,3374
3,176152,181797,5645,85,3390
4,212441,220531,8090,85,3391
5,254105,259642,5537,85,3391
6,289980,295643,5663,85,3389
7,316459,322874,6415,85,3387
8,353810,359842,6032,85,3392
9,387575,392852,5277,85,3392
10,419051,424049,4998,85,3389
11,451015,455955,4940,85,3397
12,482428,487439,5011,85,3445
13,517147,522755,5608,85,3555
14,544552,550075,5523,85,3563
15,566848,573061,6213,85,3560
16,588690,594249,5559,85,3563
17,612411,617941,5530,85,3565
18,632849,640087,7238,85,3555
19,664714,668055,3341,85,3561
20,683356,690272,6916,85,3557
21,704346,707815,3469,85,3559
22,722071,732057,9986,85,3552
23,749508,757220,7712,85,3572
24,773707,782232,8525,85,3550
25,798361,807431,9070,85,3560
26,822955,826477,3522,85,3563
27,841449,849231,7782,85,3553
28,863227,874312,11085,85,3562
29,888545,899428,10883,85,3561
30,913939,917440,3501,85,3559
31,930789,941267,10478,85,3558
32,957567,961028,3461,85,3556
33,973651,975491,1840,8,794
