BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15255862,52833335,37577473,1223170,48879695
2,70410814,109014600,38603786,1223170,51101669
3,126961809,165323997,38362188,1223170,51101842
4,182940768,221430959,38490191,1223170,51101574
5,239006215,277711723,38705508,1223170,51101296
6,295351564,333936528,38584964,1223170,51103156
7,351382381,389926435,38544054,1223170,51068888
8,407261016,445816024,38555008,1223170,50866147
9,466760927,504481687,37720760,1223170,56922704
10,524171279,562195555,38024276,1223170,58207424
11,581453618,619647224,38193606,1223170,58206579
12,638046376,675815743,37769367,1223170,58206279
13,694165341,732128649,37963308,1223170,58205566
14,751595764,789391672,37795908,1223170,58061685
15,807024655,844940439,37915784,1223170,57701308
16,862498433,900522591,38024158,1223170,57700116
17,900573966,900576622,2656,3,643
