BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15677694,46450104,30772410,1223170,48879695
2,64368429,95331056,30962627,1223170,51101669
3,113536825,144409327,30872502,1223170,51101842
4,162239860,193130248,30890388,1223170,51101574
5,210962643,241818858,30856215,1223170,51101296
6,260091328,291079087,30987759,1223170,51103156
7,308892441,339573519,30681078,1223170,51068888
8,356785577,387529081,30743504,1223170,50866147
9,408854000,439388799,30534799,1223170,56922704
10,459303621,489798579,30494958,1223170,58207424
11,509323455,539887885,30564430,1223170,58206579
12,558586712,589456033,30869321,1223170,58206279
13,608423283,638976904,30553621,1223170,58205566
14,657952952,688803251,30850299,1223170,58061685
15,706744735,737357347,30612612,1223170,57701308
16,755355008,785908800,30553792,1223170,57700116
17,785948844,785951380,2536,3,643
