BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,8719820,21676683,12956863,611585,24105036
2,37185839,49444519,12258680,611585,24775177
3,64715315,77282188,12566873,611585,25550958
4,95266674,107774846,12508172,611585,25551229
5,126445432,139014831,12569399,611585,25551465
6,155898614,168485221,12586607,611585,25550895
7,185057075,197786684,12729609,611585,25551498
8,214606087,227262118,12656031,611585,25550594
9,244061688,256461056,12399368,611585,25550757
10,273715776,286107178,12391402,611585,25551057
11,303971160,316342985,12371825,611585,25551883
12,333588202,345958076,12369874,611585,25551791
13,362886603,375416419,12529816,611585,25551023
14,392434374,405238305,12803931,611585,25518383
15,422127931,434662387,12534456,611585,25433023
16,451627459,464263367,12635908,611585,25433642
17,483375248,495701653,12326405,611585,27819945
18,516224228,528184529,11960301,611585,29103277
19,545497797,557461236,11963439,611585,29103356
20,574893720,586907451,12013731,611585,29104586
21,604740994,616750186,12009192,611585,29103057
22,634611011,646942300,12331289,611585,29104040
23,664869353,676857065,11987712,611585,29103410
24,694834132,706768456,11934324,611585,29103387
25,724906655,737096023,12189368,611585,29103318
26,755013906,767091875,12077969,611585,29102766
27,784945711,796848260,11902549,611585,29102933
28,814518491,826420058,11901567,611585,28959270
29,844127591,856026161,11898570,611585,28851427
30,873630510,885640928,12010418,611585,28850399
31,903020677,915187687,12167010,611585,28850080
32,932583204,944436006,11852802,611585,28850554
33,944472772,944475785,3013,3,643
