BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2329071,5827039,3497968,157914,6059433
2,7874451,11372623,3498172,157914,6281758
3,13299485,16629156,3329671,157914,6281949
4,18463975,21829930,3365955,157914,6281815
5,23570521,26934135,3363614,157914,6282369
6,28455043,31791875,3336832,157914,6282285
7,33708308,37128943,3420635,157914,6492828
8,38954160,42376122,3421962,157914,6597889
9,44538932,47990773,3451841,157914,6597683
10,50250612,53702289,3451677,157914,6597963
11,55849046,59303810,3454764,157914,6597618
12,60819793,64274971,3455178,157914,6597655
13,66367551,69800043,3432492,157914,6597841
14,71877824,75324018,3446194,157914,6597860
15,77411792,80876253,3464461,157914,6597791
16,83079838,86526161,3446323,157914,6598306
17,86537438,86539107,1669,5,711
