BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,5381496,12275699,6894203,315828,12340673
2,19788731,26369982,6581251,315828,12563246
3,34085706,40614937,6529231,315828,12564136
4,48261643,54774758,6513115,315828,13090199
5,61964275,68612588,6648313,315828,13195128
6,75516497,82009199,6492702,315828,13194755
7,93162940,99776791,6613851,315828,13195183
8,110879080,117335399,6456319,315828,13195579
9,117368932,117371435,2503,5,711
