BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1432148,4098046,2665898,78957,2960759
2,5117554,7517877,2400323,78957,3099192
3,8572208,10881276,2309068,78957,3141173
4,11936796,14175916,2239120,78957,3141103
5,15101134,17443580,2342446,78957,3141296
6,18353971,20643567,2289596,78957,3141171
7,21481514,23780855,2299341,78957,3141239
8,24684520,26973465,2288945,78957,3141094
9,27818023,30129368,2311345,78957,3141376
10,30979490,33287225,2307735,78957,3141511
11,34126027,36399480,2273453,78957,3141402
12,37242274,39553486,2311212,78957,3141401
13,40536600,42883867,2347267,78957,3194087
14,43887083,46299306,2412223,78957,3299259
15,47284856,49673839,2388983,78957,3299299
16,50582027,52968576,2386549,78957,3299108
17,53891014,56354560,2463546,78957,3299123
18,57272646,59686506,2413860,78957,3299078
19,60663271,63037018,2373747,78957,3299388
20,63954590,66359886,2405296,78957,3299093
21,67282562,69741319,2458757,78957,3298909
22,70649317,73021666,2372349,78957,3299227
23,73958199,76428953,2470754,78957,3299183
24,77350695,79777550,2426855,78957,3298990
25,80681037,83134159,2453122,78957,3299094
26,84046782,86418483,2371701,78957,3299265
27,87332377,89725262,2392885,78957,3299148
28,90634122,93054735,2420613,78957,3299230
29,93969488,96421023,2451535,78957,3299219
30,97335745,99766156,2430411,78957,3299090
31,100734439,103149799,2415360,78957,3299343
32,104138299,106505615,2367316,78957,3299481
33,106534634,106537110,2476,5,711
