BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2178994,7307254,5128260,157914,6059433
2,9378970,14178363,4799393,157914,6281758
3,16077220,20716637,4639417,157914,6281949
4,22423969,27098013,4674044,157914,6281815
5,28872756,33558456,4685700,157914,6282369
6,35306250,40139878,4833628,157914,6282285
7,42045788,46784156,4738368,157914,6492828
8,48716322,53560595,4844273,157914,6597889
9,55342690,60176886,4834196,157914,6597683
10,62117339,66967271,4849932,157914,6597963
11,68757402,73588919,4831517,157914,6597618
12,75353831,80221322,4867491,157914,6597655
13,82021904,86870316,4848412,157914,6597841
14,88663565,93530702,4867137,157914,6597860
15,95318311,100127231,4808920,157914,6597791
16,102050425,106888884,4838459,157914,6598306
17,106915600,106918064,2464,5,711
