BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15617298,45628472,30011174,1223170,48879695
2,64003443,94535272,30531829,1223170,51101669
3,113108135,143584795,30476660,1223170,51101842
4,160949591,191469079,30519488,1223170,51101574
5,209650538,240115262,30464724,1223170,51101296
6,259059740,289620459,30560719,1223170,51103156
7,306432685,336982340,30549655,1223170,51068888
8,354854337,385319681,30465344,1223170,50866147
9,404891521,435213857,30322336,1223170,56922704
10,455642103,485941339,30299236,1223170,58207424
11,505586694,535959995,30373301,1223170,58206579
12,554568647,584923846,30355199,1223170,58206279
13,603792368,634119566,30327198,1223170,58205566
14,653016956,683378238,30361282,1223170,58061685
15,701716871,732023955,30307084,1223170,57701308
16,749773620,779935081,30161461,1223170,57700116
17,779987587,779989983,2396,3,643
