BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,88000,98949,10949,170,6056
2,153831,161705,7874,170,6263
3,200839,208586,7747,170,6262
4,238515,249342,10827,170,6261
5,279390,287800,8410,170,6263
6,315320,321942,6622,170,6324
7,345028,351838,6810,170,6600
8,379542,385841,6299,170,6605
9,406599,412288,5689,170,6602
10,432748,438975,6227,170,6600
11,457612,462633,5021,170,6593
12,481625,486892,5267,170,6604
13,505490,510326,4836,170,6605
14,531452,537457,6005,170,6597
15,555374,560091,4717,170,6602
16,578625,585001,6376,170,6596
17,595798,597396,1598,8,794
