BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1724727,7346370,5621643,78957,2960759
2,8422083,11235394,2813311,78957,3099192
3,12298607,14118452,1819845,78957,3141173
4,15197808,17223900,2026092,78957,3141103
5,18175071,20244636,2069565,78957,3141296
6,21191516,23210997,2019481,78957,3141171
7,24094466,26379727,2285261,78957,3141239
8,27338039,29181033,1842994,78957,3141094
9,30049421,31876303,1826882,78957,3141376
10,32753919,34612816,1858897,78957,3141511
11,35451690,37044350,1592660,78957,3141402
12,37902292,39832137,1929845,78957,3141401
13,40828991,42644149,1815158,78957,3194087
14,43621759,45479389,1857630,78957,3299259
15,46474378,48450312,1975934,78957,3299299
16,49338120,51718244,2380124,78957,3299108
17,52652233,54738873,2086640,78957,3299123
18,55657102,57363540,1706438,78957,3299078
19,58345568,60210093,1864525,78957,3299388
20,61174451,63077987,1903536,78957,3299093
21,64021830,65968971,1947141,78957,3298909
22,66895534,68856484,1960950,78957,3299227
23,69812084,71663119,1851035,78957,3299183
24,72596613,74522877,1926264,78957,3298990
25,75429609,77259078,1829469,78957,3299094
26,78181897,79951495,1769598,78957,3299265
27,80879810,82989165,2109355,78957,3299148
28,83939851,86013095,2073244,78957,3299230
29,86941004,88741013,1800009,78957,3299219
30,89664002,91605057,1941055,78957,3299090
31,92602126,94315184,1713058,78957,3299343
32,95338186,97601157,2262971,78957,3299481
33,97668311,97693717,25406,5,711
