BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,676965,782622,105657,170,6056
2,834985,873962,38977,170,6263
3,909508,974364,64856,170,6262
4,1016046,1184731,168685,170,6261
5,1233078,1341875,108797,170,6263
6,1383656,1660336,276680,170,6324
7,1715282,1802101,86819,170,6600
8,1848678,1919003,70325,170,6605
9,1953631,2002427,48796,170,6602
10,2038858,2228210,189352,170,6600
11,2262023,2303098,41075,170,6593
12,2337435,2470258,132823,170,6604
13,2504678,2545087,40409,170,6605
14,2578596,2729154,150558,170,6597
15,2762455,2795778,33323,170,6602
16,2828454,2862538,34084,170,6596
17,2945796,2979364,33568,8,794
