BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1435967,3562854,2126887,78957,2960759
2,4631434,6576197,1944763,78957,3099192
3,7638656,9449205,1810549,78957,3141173
4,10507742,12347594,1839852,78957,3141103
5,13343484,15117195,1773711,78957,3141296
6,16068964,17863698,1794734,78957,3141171
7,18739565,20583947,1844382,78957,3141239
8,21535032,23325489,1790457,78957,3141094
9,24181025,26040533,1859508,78957,3141376
10,26913284,28756489,1843205,78957,3141511
11,29613084,31427227,1814143,78957,3141402
12,32283180,34129006,1845826,78957,3141401
13,35189089,37050166,1861077,78957,3194087
14,38087307,39974355,1887048,78957,3299259
15,40995565,42881647,1886082,78957,3299299
16,43813280,45731786,1918506,78957,3299108
17,46667202,48540331,1873129,78957,3299123
18,49468352,51382331,1913979,78957,3299078
19,52377895,54253306,1875411,78957,3299388
20,55238320,57157302,1918982,78957,3299093
21,58120617,59988793,1868176,78957,3298909
22,60919050,62796764,1877714,78957,3299227
23,63794342,65724869,1930527,78957,3299183
24,66668806,68585187,1916381,78957,3298990
25,69494444,71380229,1885785,78957,3299094
26,72304978,74260920,1955942,78957,3299265
27,75246112,77135757,1889645,78957,3299148
28,78100229,80033547,1933318,78957,3299230
29,80974170,82853609,1879439,78957,3299219
30,83796139,85687584,1891445,78957,3299090
31,86698447,88600924,1902477,78957,3299343
32,89611068,91521014,1909946,78957,3299481
33,91545747,91548033,2286,5,711
