BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,142462,150044,7582,85,3200
2,193655,200020,6365,85,3374
3,233261,240068,6807,85,3390
4,261377,270760,9383,85,3391
5,294968,301264,6296,85,3391
6,321932,329974,8042,85,3389
7,356932,363716,6784,85,3387
8,388708,396918,8210,85,3392
9,416313,422901,6588,85,3392
10,440011,446265,6254,85,3389
11,462947,470249,7302,85,3397
12,487435,493937,6502,85,3445
13,517650,524266,6616,85,3555
14,544425,551386,6961,85,3563
15,567903,572802,4899,85,3560
16,590193,596608,6415,85,3563
17,613020,620039,7019,85,3565
18,635019,641964,6945,85,3555
19,657307,664599,7292,85,3561
20,679787,684117,4330,85,3557
21,698142,705324,7182,85,3559
22,719123,726648,7525,85,3552
23,740688,744748,4060,85,3572
24,758689,766115,7426,85,3550
25,780001,784299,4298,85,3560
26,798077,805595,7518,85,3563
27,819475,826804,7329,85,3553
28,840683,844940,4257,85,3562
29,858874,866681,7807,85,3561
30,880670,884922,4252,85,3559
31,898254,906048,7794,85,3558
32,919284,923553,4269,85,3556
33,936727,938893,2166,8,794
