BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,95660,102432,6772,85,3200
2,144717,150396,5679,85,3374
3,187948,193936,5988,85,3390
4,215390,223420,8030,85,3391
5,247963,253670,5707,85,3391
6,274847,280606,5759,85,3389
7,301481,307973,6492,85,3387
8,329478,336520,7042,85,3392
9,356898,362405,5507,85,3392
10,379426,384542,5116,85,3389
11,402289,407343,5054,85,3397
12,424908,430079,5171,85,3445
13,450276,455541,5265,85,3555
14,475807,481225,5418,85,3563
15,497037,502673,5636,85,3560
16,518922,524543,5621,85,3563
17,540653,546105,5452,85,3565
18,561087,566814,5727,85,3555
19,582229,587770,5541,85,3561
20,603232,607953,4721,85,3557
21,622166,633066,10900,85,3559
22,647026,658262,11236,85,3552
23,672695,678601,5906,85,3572
24,696101,700085,3984,85,3550
25,714308,725231,10923,85,3560
26,743179,750300,7121,85,3563
27,766771,772789,6018,85,3553
28,788362,798777,10415,85,3562
29,814809,820742,5933,85,3561
30,835255,839192,3937,85,3559
31,852783,856525,3742,85,3558
32,869774,875974,6200,85,3556
33,888963,891027,2064,8,794
