BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,560568,666995,106427,85,3200
2,740212,775267,35055,85,3374
3,813729,850157,36428,85,3390
4,872285,909371,37086,85,3391
5,947922,983836,35914,85,3391
6,1019371,1083977,64606,85,3389
7,1109529,1142311,32782,85,3387
8,1174310,1718754,544444,85,3392
9,1756342,1818840,62498,85,3392
10,1851604,1885561,33957,85,3389
11,1917723,1952301,34578,85,3397
12,1979735,2094483,114748,85,3445
13,2132062,2194618,62556,85,3555
14,2235066,2319867,84801,85,3563
15,2348469,2386608,38139,85,3560
16,2410639,2470224,59585,85,3563
17,2498935,2553499,54564,85,3565
18,2579602,2611915,32313,85,3555
19,2636587,2678692,42105,85,3561
20,2704138,2887719,183581,85,3557
21,2914059,2962724,48665,85,3559
22,2986924,3037774,50850,85,3552
23,3060999,3104536,43537,85,3572
24,3129844,3188023,58179,85,3550
25,3213221,3246501,33280,85,3560
26,3270384,3380002,109618,85,3563
27,3404521,3463567,59046,85,3553
28,3489447,3597342,107895,85,3562
29,3622554,3655802,33248,85,3561
30,3681562,3714159,32597,85,3559
31,3739821,3772444,32623,85,3558
32,3797804,3830966,33162,85,3556
33,3913093,3947860,34767,8,794
