BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2212117,6248531,4036414,157914,6059433
2,8363366,12247207,3883841,157914,6281758
3,14268188,17978244,3710056,157914,6281949
4,19890530,23628811,3738281,157914,6281815
5,25498893,29205577,3706684,157914,6282369
6,31113817,34816583,3702766,157914,6282285
7,36922718,40676421,3753703,157914,6492828
8,42619409,46462762,3843353,157914,6597889
9,48259365,52138951,3879586,157914,6597683
10,54137633,57999585,3861952,157914,6597963
11,59915473,63672715,3757242,157914,6597618
12,65496158,69415683,3919525,157914,6597655
13,71229636,75064515,3834879,157914,6597841
14,76864596,80693485,3828889,157914,6597860
15,82457984,86383169,3925185,157914,6597791
16,88343803,92179595,3835792,157914,6598306
17,92207303,92209601,2298,5,711
