BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,102766,113938,11172,170,6056
2,160332,170686,10354,170,6263
3,208097,218879,10782,170,6262
4,247885,263387,15502,170,6261
5,292730,303637,10907,170,6263
6,328590,339906,11316,170,6324
7,370095,381318,11223,170,6600
8,408183,419202,11019,170,6605
9,440601,450031,9430,170,6602
10,471229,482372,11143,170,6600
11,500891,509609,8718,170,6593
12,528537,537687,9150,170,6604
13,555812,565319,9507,170,6605
14,583531,601831,18300,170,6597
15,620304,630520,10216,170,6602
16,648036,658265,10229,170,6596
17,675842,677892,2050,8,794
