BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2194582,6258174,4063592,157914,6059433
2,8314544,12211609,3897065,157914,6281758
3,14083158,17920236,3837078,157914,6281949
4,19671921,23433901,3761980,157914,6281815
5,25338928,29149458,3810530,157914,6282369
6,30936478,34754894,3818416,157914,6282285
7,36718774,40589728,3870954,157914,6492828
8,42624282,46499332,3875050,157914,6597889
9,48287897,52329119,4041222,157914,6597683
10,54241805,58162903,3921098,157914,6597963
11,59977779,63941673,3963894,157914,6597618
12,65794645,69695531,3900886,157914,6597655
13,71525744,75472775,3947031,157914,6597841
14,77253146,81178216,3925070,157914,6597860
15,82961723,86876732,3915009,157914,6597791
16,88793403,92734817,3941414,157914,6598306
17,92763633,92765760,2127,5,711
