BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,81618,88567,6949,85,3200
2,125393,131640,6247,85,3374
3,166254,172772,6518,85,3390
4,194183,203061,8878,85,3391
5,227563,233852,6289,85,3391
6,254392,261043,6651,85,3389
7,286589,294176,7587,85,3387
8,316074,323275,7201,85,3392
9,341449,348057,6608,85,3392
10,365135,371291,6156,85,3389
11,390880,399314,8434,85,3397
12,420119,427545,7426,85,3445
13,450455,456884,6429,85,3555
14,476801,482785,5984,85,3563
15,498688,505168,6480,85,3560
16,520669,525219,4550,85,3563
17,541826,548755,6929,85,3565
18,563679,570490,6811,85,3555
19,586171,592854,6683,85,3561
20,608069,612439,4370,85,3557
21,626582,633083,6501,85,3559
22,647359,653945,6586,85,3552
23,667876,675008,7132,85,3572
24,692701,696888,4187,85,3550
25,710668,725356,14688,85,3560
26,740085,744167,4082,85,3563
27,760011,767768,7757,85,3553
28,783270,787609,4339,85,3562
29,801413,808980,7567,85,3561
30,823356,827749,4393,85,3559
31,840958,853345,12387,85,3558
32,866497,870565,4068,85,3556
33,887075,889024,1949,8,794
