BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15767049,45685143,29918094,1223170,48879695
2,63805135,94215937,30410802,1223170,51101669
3,112925247,143208003,30282756,1223170,51101842
4,161119056,191318115,30199059,1223170,51101574
5,209229397,239394454,30165057,1223170,51101296
6,258055761,288168452,30112691,1223170,51103156
7,305139907,335340636,30200729,1223170,51068888
8,353264115,383569073,30304958,1223170,50866147
9,403509984,433614109,30104125,1223170,56922704
10,453407149,483595432,30188283,1223170,58207424
11,503289626,533538375,30248749,1223170,58206579
12,552322314,582415833,30093519,1223170,58206279
13,601483691,631499772,30016081,1223170,58205566
14,650720304,680700345,29980041,1223170,58061685
15,698863059,728953424,30090365,1223170,57701308
16,747210007,777236186,30026179,1223170,57700116
17,777280193,777282571,2378,3,643
