BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2346936,5871865,3524929,157914,6059433
2,7911372,11247261,3335889,157914,6281758
3,13099039,16439924,3340885,157914,6281949
4,18068118,21415107,3346989,157914,6281815
5,23197625,26526467,3328842,157914,6282369
6,28066409,31347991,3281582,157914,6282285
7,33251926,36684936,3433010,157914,6492828
8,38519933,41955157,3435224,157914,6597889
9,44110525,47526106,3415581,157914,6597683
10,49851104,53271261,3420157,157914,6597963
11,55373286,58820278,3446992,157914,6597618
12,60338624,63760531,3421907,157914,6597655
13,65836472,69264384,3427912,157914,6597841
14,71367601,74847650,3480049,157914,6597860
15,76924665,80403382,3478717,157914,6597791
16,82605329,86057516,3452187,157914,6598306
17,86069200,86071247,2047,5,711
