BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,397665,632583,234918,170,6056
2,706731,740712,33981,170,6263
3,787554,840964,53410,170,6262
4,881453,992888,111435,170,6261
5,1039470,1117955,78485,170,6263
6,1159211,1260050,100839,170,6324
7,1314525,1485360,170835,170,6600
8,1528452,1585621,57169,170,6605
9,1618798,1652212,33414,170,6602
10,1685392,1819715,134323,170,6600
11,1848124,1877745,29621,170,6593
12,1911258,1969818,58560,170,6604
13,2001797,2028132,26335,170,6605
14,2058271,2220506,162235,170,6597
15,2254231,2287200,32969,170,6602
16,2317127,2345546,28419,170,6596
17,2503892,2537616,33724,8,794
