BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2367032,5852042,3485010,157914,6059433
2,7943936,11252235,3308299,157914,6281758
3,13081230,16420844,3339614,157914,6281949
4,18074278,21379688,3305410,157914,6281815
5,23166419,26500375,3333956,157914,6282369
6,28115685,31422156,3306471,157914,6282285
7,33379591,36796518,3416927,157914,6492828
8,38678496,42074786,3396290,157914,6597889
9,44285609,47712897,3427288,157914,6597683
10,49986647,53378916,3392269,157914,6597963
11,55541624,58955575,3413951,157914,6597618
12,60502865,63914342,3411477,157914,6597655
13,66032731,69476702,3443971,157914,6597841
14,71639657,75074939,3435282,157914,6597860
15,77221727,80658578,3436851,157914,6597791
16,82939020,86338070,3399050,157914,6598306
17,86349974,86351927,1953,5,711
