BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2571307,9726346,7155039,157914,6059433
2,11822983,16264575,4441592,157914,6281758
3,18314475,21968304,3653829,157914,6281949
4,23819492,27638458,3818966,157914,6281815
5,29483901,33382416,3898515,157914,6282369
6,35226235,39028511,3802276,157914,6282285
7,41493504,45332167,3838663,157914,6492828
8,47292316,51522136,4229820,157914,6597889
9,53351550,57095240,3743690,157914,6597683
10,59027099,63154924,4127825,157914,6597963
11,65013224,68943504,3930280,157914,6597618
12,70816069,74874028,4057959,157914,6597655
13,76736430,80908367,4171937,157914,6597841
14,82720576,86794651,4074075,157914,6597860
15,88618508,93046299,4427791,157914,6597791
16,94990996,99119100,4128104,157914,6598306
17,99188120,99210270,22150,5,711
