BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,107392,117314,9922,170,6056
2,167975,176956,8981,170,6263
3,216454,225791,9337,170,6262
4,255135,267715,12580,170,6261
5,299276,309610,10334,170,6263
6,338226,347771,9545,170,6324
7,385781,396070,10289,170,6600
8,421766,430626,8860,170,6605
9,451914,461407,9493,170,6602
10,482578,490361,7783,170,6600
11,510746,518088,7342,170,6593
12,536783,544454,7671,170,6604
13,563266,573473,10207,170,6605
14,591926,600234,8308,170,6597
15,619117,626904,7787,170,6602
16,644107,652322,8215,170,6596
17,665512,680593,15081,8,794
