BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15693415,45635241,29941826,1223170,48879695
2,63654326,93978202,30323876,1223170,51101669
3,112238608,142428971,30190363,1223170,51101842
4,159845317,190085452,30240135,1223170,51101574
5,208147392,238448538,30301146,1223170,51101296
6,256636558,287084575,30448017,1223170,51103156
7,304883229,335255803,30372574,1223170,51068888
8,352648967,382989385,30340418,1223170,50866147
9,404108364,434234163,30125799,1223170,56922704
10,454457832,484502566,30044734,1223170,58207424
11,504201198,534086745,29885547,1223170,58206579
12,552787439,582823376,30035937,1223170,58206279
13,601815312,631908647,30093335,1223170,58205566
14,650728570,680727185,29998615,1223170,58061685
15,699014791,728989000,29974209,1223170,57701308
16,747329104,777152388,29823284,1223170,57700116
17,777191978,777194053,2075,3,643
