BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1433866,3598712,2164846,78957,2960759
2,4663510,6606998,1943488,78957,3099192
3,7692462,9550048,1857586,78957,3141173
4,10635730,12490262,1854532,78957,3141103
5,13425207,15324920,1899713,78957,3141296
6,16293754,18173060,1879306,78957,3141171
7,19059149,20887500,1828351,78957,3141239
8,21841448,23638089,1796641,78957,3141094
9,24491757,26336127,1844370,78957,3141376
10,27201476,29033767,1832291,78957,3141511
11,29890916,31685880,1794964,78957,3141402
12,32535217,34375319,1840102,78957,3141401
13,35422041,37283560,1861519,78957,3194087
14,38299410,40193030,1893620,78957,3299259
15,41208373,43108580,1900207,78957,3299299
16,44045182,45966137,1920955,78957,3299108
17,46905034,48756536,1851502,78957,3299123
18,49753625,51667883,1914258,78957,3299078
19,52670308,54556129,1885821,78957,3299388
20,55544467,57457291,1912824,78957,3299093
21,58398219,60295994,1897775,78957,3298909
22,61232123,63141050,1908927,78957,3299227
23,64102983,66013097,1910114,78957,3299183
24,66955415,68837009,1881594,78957,3298990
25,69773696,71685114,1911418,78957,3299094
26,72616844,74504354,1887510,78957,3299265
27,75484159,77425897,1941738,78957,3299148
28,78369332,80237215,1867883,78957,3299230
29,81183075,83078488,1895413,78957,3299219
30,84021781,85897711,1875930,78957,3299090
31,86895490,88779500,1884010,78957,3299343
32,89786618,91638763,1852145,78957,3299481
33,91680264,91684019,3755,5,711
