BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,105702,115664,9962,170,6056
2,158939,167824,8885,170,6263
3,208221,217322,9101,170,6262
4,246105,265459,19354,170,6261
5,294548,303751,9203,170,6263
6,331367,340619,9252,170,6324
7,370878,380201,9323,170,6600
8,405469,414605,9136,170,6605
9,435959,445160,9201,170,6602
10,466717,474551,7834,170,6600
11,493248,500548,7300,170,6593
12,519405,528961,9556,170,6604
13,547242,555007,7765,170,6605
14,573213,581410,8197,170,6597
15,600689,608610,7921,170,6602
16,625800,633891,8091,170,6596
17,646837,651839,5002,8,794
