BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2544869,9469116,6924247,157914,6059433
2,11596598,15505365,3908767,157914,6281758
3,17591796,21823966,4232170,157914,6281949
4,23634700,27424024,3789324,157914,6281815
5,29373072,33692874,4319802,157914,6282369
6,35574083,39389226,3815143,157914,6282285
7,41874355,45489354,3614999,157914,6492828
8,47541950,51962301,4420351,157914,6597889
9,53772852,57536975,3764123,157914,6597683
10,59474770,63709495,4234725,157914,6597963
11,65516373,69396639,3880266,157914,6597618
12,71245377,75085941,3840564,157914,6597655
13,76931654,80872835,3941181,157914,6597841
14,82712750,86595044,3882294,157914,6597860
15,88379159,92539712,4160553,157914,6597791
16,94476827,98859931,4383104,157914,6598306
17,99041990,99125397,83407,5,711
