BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,159361,170369,11008,170,6056
2,249654,264730,15076,170,6263
3,333795,350087,16292,170,6262
4,407968,433437,25469,170,6261
5,490463,507052,16589,170,6263
6,553810,569364,15554,170,6324
7,621356,637836,16480,170,6600
8,698362,707875,9513,170,6605
9,754973,770819,15846,170,6602
10,815576,830496,14920,170,6600
11,868237,879101,10864,170,6593
12,925711,938110,12399,170,6604
13,982611,997784,15173,170,6605
14,1044324,1057781,13457,170,6597
15,1100040,1113008,12968,170,6602
16,1159482,1171757,12275,170,6596
17,1200377,1202421,2044,8,794
