BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,7660540,20799762,13139222,611585,24105036
2,28716207,41769783,13053576,611585,24775177
3,50647017,63928975,13281958,611585,25550958
4,72809550,86171453,13361903,611585,25551229
5,95052346,108393267,13340921,611585,25551465
6,117070863,130403066,13332203,611585,25550895
7,138955347,152380113,13424766,611585,25551498
8,161160940,174519211,13358271,611585,25550594
9,183113589,196511584,13397995,611585,25550757
10,205297319,218744303,13446984,611585,25551057
11,228028913,241511328,13482415,611585,25551883
12,250099712,263432390,13332678,611585,25551791
13,272074394,285451024,13376630,611585,25551023
14,294509477,307880646,13371169,611585,25518383
15,316571167,329955830,13384663,611585,25433023
16,338880610,352442111,13561501,611585,25433642
17,362963082,376176588,13213506,611585,27819945
18,386463374,399634445,13171071,611585,29103277
19,409420154,422566558,13146404,611585,29103356
20,432693126,445821855,13128729,611585,29104586
21,455672230,468723312,13051082,611585,29103057
22,478881346,491936967,13055621,611585,29104040
23,501758745,514910533,13151788,611585,29103410
24,524708311,537815505,13107194,611585,29103387
25,547703041,560775247,13072206,611585,29103318
26,570574401,583638672,13064271,611585,29102766
27,593802345,606885937,13083592,611585,29102933
28,616230075,629391057,13160982,611585,28959270
29,638687117,651773765,13086648,611585,28851427
30,661112676,674419767,13307091,611585,28850399
31,683719634,696789533,13069899,611585,28850080
32,706103193,719105636,13002443,611585,28850554
33,719120063,719121830,1767,3,643
