BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,79009,85881,6872,85,3200
2,122817,128363,5546,85,3374
3,165147,171185,6038,85,3390
4,192581,200630,8049,85,3391
5,224790,231144,6354,85,3391
6,256960,262595,5635,85,3389
7,285023,291409,6386,85,3387
8,312850,318922,6072,85,3392
9,339675,346156,6481,85,3392
10,363001,368328,5327,85,3389
11,386225,391766,5541,85,3397
12,409215,414987,5772,85,3445
13,435577,441891,6314,85,3555
14,463507,469115,5608,85,3563
15,485001,488958,3957,85,3560
16,505096,512066,6970,85,3563
17,529155,536311,7156,85,3565
18,551223,554942,3719,85,3555
19,572807,579071,6264,85,3561
20,597265,602593,5328,85,3557
21,617993,621473,3480,85,3559
22,635262,646007,10745,85,3552
23,659943,665419,5476,85,3572
24,679735,687879,8144,85,3550
25,704261,709995,5734,85,3560
26,725111,731178,6067,85,3563
27,747174,754658,7484,85,3553
28,769300,775069,5769,85,3562
29,793067,796586,3519,85,3561
30,815369,821292,5923,85,3559
31,835085,838479,3394,85,3558
32,851870,863475,11605,85,3556
33,881059,888653,7594,8,794
