BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15641705,46302630,30660925,1223170,48879695
2,64780595,95563175,30782580,1223170,51101669
3,113767249,144371145,30603896,1223170,51101842
4,161711593,192329328,30617735,1223170,51101574
5,210229859,240759090,30529231,1223170,51101296
6,259792014,290385609,30593595,1223170,51103156
7,307747221,338295771,30548550,1223170,51068888
8,356617245,387342139,30724894,1223170,50866147
9,407402972,438049305,30646333,1223170,56922704
10,457780605,488532844,30752239,1223170,58207424
11,508054065,538735443,30681378,1223170,58206579
12,557552953,588123073,30570120,1223170,58206279
13,607185403,637729278,30543875,1223170,58205566
14,656561432,687114221,30552789,1223170,58061685
15,705138326,735712440,30574114,1223170,57701308
16,753512666,783898997,30386331,1223170,57700116
17,783933331,783935742,2411,3,643
