BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,34336440,95424861,61088421,2446340,99980846
2,135784061,196764351,60980290,2446340,102202898
3,234301448,294960871,60659423,2446340,102203934
4,331914972,392922570,61007598,2446340,101934517
5,434188522,494541665,60353143,2446340,115129610
6,535255108,594914200,59659092,2446340,116412340
7,633588697,693416766,59828069,2446340,116266733
8,731243995,790868753,59624758,2446340,115400906
9,790918873,790921217,2344,3,643
