BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,89148,99913,10765,170,6056
2,153714,162564,8850,170,6263
3,201731,209472,7741,170,6262
4,239704,251698,11994,170,6261
5,281899,289594,7695,170,6263
6,316755,323468,6713,170,6324
7,347926,356243,8317,170,6600
8,382668,388822,6154,170,6605
9,409402,416604,7202,170,6602
10,439215,445514,6299,170,6600
11,463839,468874,5035,170,6593
12,488137,493837,5700,170,6604
13,514188,519374,5186,170,6605
14,537012,543508,6496,170,6597
15,562901,567825,4924,170,6602
16,586674,593313,6639,170,6596
17,604277,605911,1634,8,794
