BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,16907334,44061781,27154447,1223170,48879695
2,64523507,92242249,27718742,1223170,51101669
3,111090718,138999994,27909276,1223170,51101842
4,157138735,184725730,27586995,1223170,51101574
5,202763820,230348291,27584471,1223170,51101296
6,249892740,277671716,27778976,1223170,51103156
7,295120965,322760924,27639959,1223170,51068888
8,340919486,368643648,27724162,1223170,50866147
9,389126680,416602837,27476157,1223170,56922704
10,436894790,463785602,26890812,1223170,58207424
11,484560897,511410223,26849326,1223170,58206579
12,530754846,557720273,26965427,1223170,58206279
13,576760659,603620078,26859419,1223170,58205566
14,622698730,649475896,26777166,1223170,58061685
15,667935470,694856805,26921335,1223170,57701308
16,713167375,740213750,27046375,1223170,57700116
17,740234730,740236603,1873,3,643
