BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15503645,45550432,30046787,1223170,48879695
2,63358516,93643576,30285060,1223170,51101669
3,111888665,142110908,30222243,1223170,51101842
4,159367936,189592963,30225027,1223170,51101574
5,207325202,237423322,30098120,1223170,51101296
6,255268935,285558463,30289528,1223170,51103156
7,303037281,333165790,30128509,1223170,51068888
8,350209682,380290135,30080453,1223170,50866147
9,401702608,431686538,29983930,1223170,56922704
10,451411709,481509099,30097390,1223170,58207424
11,500922188,530914562,29992374,1223170,58206579
12,549414701,579148850,29734149,1223170,58206279
13,597875789,627676684,29800895,1223170,58205566
14,646271819,676050423,29778604,1223170,58061685
15,694149363,724047791,29898428,1223170,57701308
16,741957324,771780321,29822997,1223170,57700116
17,771815631,771818205,2574,3,643
