BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,6352804,25510451,19157647,611585,24105036
2,32713454,51269220,18555766,611585,24775177
3,59283576,78337201,19053625,611585,25550958
4,87164019,106211668,19047649,611585,25551229
5,114866561,133887546,19020985,611585,25551465
6,142130159,161228563,19098404,611585,25550895
7,169566025,188846935,19280910,611585,25551498
8,197086121,216284608,19198487,611585,25550594
9,224993096,244224576,19231480,611585,25550757
10,252511854,271647828,19135974,611585,25551057
11,280638332,299818046,19179714,611585,25551883
12,308309852,327411282,19101430,611585,25551791
13,335615624,354823462,19207838,611585,25551023
14,363570801,382717256,19146455,611585,25518383
15,391256347,410566897,19310550,611585,25433023
16,418813692,437946868,19133176,611585,25433642
17,447829972,466594484,18764512,611585,27819945
18,476241365,494943805,18702440,611585,29103277
19,504152823,522766843,18614020,611585,29103356
20,532166045,550910794,18744749,611585,29104586
21,560704047,579399971,18695924,611585,29103057
22,588802406,607518068,18715662,611585,29104040
23,616962595,635750985,18788390,611585,29103410
24,645311202,663979446,18668244,611585,29103387
25,673622306,692337843,18715537,611585,29103318
26,702063998,720791230,18727232,611585,29102766
27,730405421,749170930,18765509,611585,29102933
28,758475004,777038589,18563585,611585,28959270
29,785573335,804166117,18592782,611585,28851427
30,812734460,831253983,18519523,611585,28850399
31,840082370,858635218,18552848,611585,28850080
32,867454328,886020538,18566210,611585,28850554
33,886049374,886052104,2730,3,643
