BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1428994,3615407,2186413,78957,2960759
2,4667584,6678699,2011115,78957,3099192
3,7693065,9600985,1907920,78957,3141173
4,10691179,12606828,1915649,78957,3141103
5,13574931,15440656,1865725,78957,3141296
6,16364465,18250407,1885942,78957,3141171
7,19105961,21024242,1918281,78957,3141239
8,21969429,23846222,1876793,78957,3141094
9,24685392,26526490,1841098,78957,3141376
10,27382160,29275497,1893337,78957,3141511
11,30117536,31998760,1881224,78957,3141402
12,32831806,34751210,1919404,78957,3141401
13,35781175,37665278,1884103,78957,3194087
14,38680718,40632190,1951472,78957,3299259
15,41640266,43556663,1916397,78957,3299299
16,44489449,46438527,1949078,78957,3299108
17,47388768,49340004,1951236,78957,3299123
18,50263299,52270372,2007073,78957,3299078
19,53273084,55242475,1969391,78957,3299388
20,56208397,58153286,1944889,78957,3299093
21,59108486,61069316,1960830,78957,3298909
22,61990864,63963220,1972356,78957,3299227
23,64922000,66863055,1941055,78957,3299183
24,67785139,69736778,1951639,78957,3298990
25,70654320,72581337,1927017,78957,3299094
26,73505977,75453904,1947927,78957,3299265
27,76428604,78380654,1952050,78957,3299148
28,79337223,81248444,1911221,78957,3299230
29,82175873,84110053,1934180,78957,3299219
30,85038630,87003713,1965083,78957,3299090
31,87994858,89923149,1928291,78957,3299343
32,90919623,92815055,1895432,78957,3299481
33,92841830,92844060,2230,5,711
