BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,80025,86833,6808,85,3200
2,129158,134701,5543,85,3374
3,168619,174277,5658,85,3390
4,195757,203812,8055,85,3391
5,228078,233568,5490,85,3391
6,254468,260783,6315,85,3389
7,285070,290962,5892,85,3387
8,312707,321631,8924,85,3392
9,340276,345543,5267,85,3392
10,362590,368465,5875,85,3389
11,385585,390578,4993,85,3397
12,407985,413051,5066,85,3445
13,436228,441599,5371,85,3555
14,466837,481968,15131,85,3563
15,501444,506891,5447,85,3560
16,523697,529730,6033,85,3563
17,546277,555695,9418,85,3565
18,570616,574601,3985,85,3555
19,590298,597682,7384,85,3561
20,612891,622564,9673,85,3557
21,636661,640468,3807,85,3559
22,654615,660685,6070,85,3552
23,675075,681862,6787,85,3572
24,696185,706680,10495,85,3550
25,720646,726398,5752,85,3560
26,740306,744155,3849,85,3563
27,760063,766091,6028,85,3553
28,780105,783940,3835,85,3562
29,802444,809034,6590,85,3561
30,823156,826920,3764,85,3559
31,840310,848949,8639,85,3558
32,865973,869911,3938,85,3556
33,884004,890768,6764,8,794
