BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2124672,3968013,1843341,78957,2960759
2,5916756,7521094,1604338,78957,3099192
3,9269422,10756189,1486767,78957,3141173
4,12642293,14135554,1493261,78957,3141103
5,15959982,17657565,1697583,78957,3141296
6,19614057,21211358,1597301,78957,3141171
7,22931147,24473292,1542145,78957,3141239
8,26336140,27785362,1449222,78957,3141094
9,29546489,31070874,1524385,78957,3141376
10,32883644,34444612,1560968,78957,3141511
11,36155857,37641720,1485863,78957,3141402
12,39404999,40895662,1490663,78957,3141401
13,42888303,44472614,1584311,78957,3194087
14,46508682,48071283,1562601,78957,3299259
15,50070945,51798163,1727218,78957,3299299
16,53685468,55257235,1571767,78957,3299108
17,57046859,58591391,1544532,78957,3299123
18,60395520,61956156,1560636,78957,3299078
19,63899521,65530971,1631450,78957,3299388
20,67287529,68880780,1593251,78957,3299093
21,70724850,72282051,1557201,78957,3298909
22,74075756,75645515,1569759,78957,3299227
23,77480161,79043447,1563286,78957,3299183
24,80864866,82458797,1593931,78957,3298990
25,84254491,85822125,1567634,78957,3299094
26,87624468,89264622,1640154,78957,3299265
27,90984706,92636769,1652063,78957,3299148
28,94484565,96058796,1574231,78957,3299230
29,97892462,99570850,1678388,78957,3299219
30,101366965,102957109,1590144,78957,3299090
31,104899455,106479304,1579849,78957,3299343
32,108404204,110004975,1600771,78957,3299481
33,110034823,110037102,2279,5,711
