BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1398610,3514215,2115605,78957,2960759
2,4524906,6457285,1932379,78957,3099192
3,7528359,9408608,1880249,78957,3141173
4,10478194,12327826,1849632,78957,3141103
5,13243908,15060988,1817080,78957,3141296
6,16031242,17854265,1823023,78957,3141171
7,18710372,20489694,1779322,78957,3141239
8,21442289,23297266,1854977,78957,3141094
9,24152453,25957128,1804675,78957,3141376
10,26828783,28665387,1836604,78957,3141511
11,29512963,31360330,1847367,78957,3141402
12,32208026,34029858,1821832,78957,3141401
13,35068192,36933848,1865656,78957,3194087
14,37940886,39824947,1884061,78957,3299259
15,40807718,42694104,1886386,78957,3299299
16,43619341,45508957,1889616,78957,3299108
17,46449803,48285066,1835263,78957,3299123
18,49208386,51121351,1912965,78957,3299078
19,52118921,53987679,1868758,78957,3299388
20,54959841,56830437,1870596,78957,3299093
21,57777101,59666945,1889844,78957,3298909
22,60578660,62474380,1895720,78957,3299227
23,63425822,65334648,1908826,78957,3299183
24,66276665,68202393,1925728,78957,3298990
25,69132203,71012362,1880159,78957,3299094
26,71915244,73843895,1928651,78957,3299265
27,74801318,76710632,1909314,78957,3299148
28,77660581,79562615,1902034,78957,3299230
29,80495999,82328108,1832109,78957,3299219
30,83265554,85152127,1886573,78957,3299090
31,86153675,88039089,1885414,78957,3299343
32,89017472,90940354,1922882,78957,3299481
33,90963523,90965714,2191,5,711
