BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,1603240,3483712,1880472,78957,2960759
2,4484650,6196296,1711646,78957,3099192
3,7228879,8931559,1702680,78957,3141173
4,9827457,11564544,1737087,78957,3141103
5,12432865,14175346,1742481,78957,3141296
6,14965431,16683795,1718364,78957,3141171
7,17528678,19263163,1734485,78957,3141239
8,20072721,21806861,1734140,78957,3141094
9,22607347,24353489,1746142,78957,3141376
10,25159656,26877431,1717775,78957,3141511
11,27660084,29334186,1674102,78957,3141402
12,30145312,31900635,1755323,78957,3141401
13,32807405,34529901,1722496,78957,3194087
14,35470006,37255457,1785451,78957,3299259
15,38200021,40032438,1832417,78957,3299299
16,40908597,42717713,1809116,78957,3299108
17,43585326,45355185,1769859,78957,3299123
18,46215688,47990274,1774586,78957,3299078
19,48921056,50790744,1869688,78957,3299388
20,51663168,53489565,1826397,78957,3299093
21,54359754,56129176,1769422,78957,3298909
22,56976832,58771170,1794338,78957,3299227
23,59706070,61694899,1988829,78957,3299183
24,62628246,64401716,1773470,78957,3298990
25,65270661,67065386,1794725,78957,3299094
26,67927703,69699546,1771843,78957,3299265
27,70574203,72821101,2246898,78957,3299148
28,73682528,75471784,1789256,78957,3299230
29,76355350,78164661,1809311,78957,3299219
30,79026401,80828934,1802533,78957,3299090
31,81751480,83548245,1796765,78957,3299343
32,84503483,86313550,1810067,78957,3299481
33,86325239,86327225,1986,5,711
