BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,72321,78616,6295,85,3200
2,121435,127273,5838,85,3374
3,164110,170755,6645,85,3390
4,192254,200505,8251,85,3391
5,224570,230930,6360,85,3391
6,251808,257428,5620,85,3389
7,280970,287506,6536,85,3387
8,309439,315645,6206,85,3392
9,336361,343649,7288,85,3392
10,361135,366608,5473,85,3389
11,384271,389881,5610,85,3397
12,407379,413305,5926,85,3445
13,433511,438923,5412,85,3555
14,459319,464625,5306,85,3563
15,488251,493834,5583,85,3560
16,509996,514250,4254,85,3563
17,531549,537230,5681,85,3565
18,552503,559466,6963,85,3555
19,575019,580352,5333,85,3561
20,595821,601307,5486,85,3557
21,615260,620521,5261,85,3559
22,635122,643142,8020,85,3552
23,657189,668236,11047,85,3572
24,686245,692166,5921,85,3550
25,706247,710129,3882,85,3560
26,724766,731015,6249,85,3563
27,745653,752024,6371,85,3553
28,766721,773749,7028,85,3562
29,787651,793757,6106,85,3561
30,807776,811524,3748,85,3559
31,824828,835747,10919,85,3558
32,849020,852859,3839,85,3556
33,865992,868097,2105,8,794
