BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,175376,191703,16327,170,6056
2,282520,292203,9683,170,6263
3,364044,374128,10084,170,6262
4,433521,452452,18931,170,6261
5,514900,533071,18171,170,6263
6,585320,600405,15085,170,6324
7,655539,673005,17466,170,6600
8,735506,745893,10387,170,6605
9,787221,801285,14064,170,6602
10,847014,870218,23204,170,6600
11,914650,923305,8655,170,6593
12,970540,983416,12876,170,6604
13,1027299,1039137,11838,170,6605
14,1079412,1092906,13494,170,6597
15,1137507,1147729,10222,170,6602
16,1193025,1207164,14139,170,6596
17,1232385,1234583,2198,8,794
