BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2195585,7153379,4957794,157914,6059433
2,9269933,14043187,4773254,157914,6281758
3,16018617,20498346,4479729,157914,6281949
4,22209765,26815917,4606152,157914,6281815
5,28618193,33149864,4531671,157914,6282369
6,34911899,39561983,4650084,157914,6282285
7,41887804,46581505,4693701,157914,6492828
8,48512278,53228524,4716246,157914,6597889
9,55019555,59823351,4803796,157914,6597683
10,61771217,66498793,4727576,157914,6597963
11,68288683,73033305,4744622,157914,6597618
12,74842108,79522909,4680801,157914,6597655
13,81322898,86061630,4738732,157914,6597841
14,87857087,92552139,4695052,157914,6597860
15,94343508,99127272,4783764,157914,6597791
16,101035928,105779772,4743844,157914,6598306
17,105805368,105807689,2321,5,711
