BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,96654,107011,10357,170,6056
2,153272,187151,33879,170,6263
3,224921,234387,9466,170,6262
4,267283,280427,13144,170,6261
5,309717,318416,8699,170,6263
6,343702,351631,7929,170,6324
7,384004,393819,9815,170,6600
8,419086,428367,9281,170,6605
9,449673,457235,7562,170,6602
10,478433,488533,10100,170,6600
11,509379,516855,7476,170,6593
12,535621,543092,7471,170,6604
13,561251,568322,7071,170,6605
14,586736,594057,7321,170,6597
15,613050,621205,8155,170,6602
16,638774,646792,8018,170,6596
17,659569,662442,2873,8,794
