BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,72751,78880,6129,85,3200
2,113783,118697,4914,85,3374
3,150962,156044,5082,85,3390
4,182205,188795,6590,85,3391
5,213075,218263,5188,85,3391
6,241849,246743,4894,85,3389
7,265370,270262,4892,85,3387
8,292635,298450,5815,85,3392
9,315897,320549,4652,85,3392
10,336658,340439,3781,85,3389
11,356481,360056,3575,85,3397
12,375213,380257,5044,85,3445
13,400261,404691,4430,85,3555
14,420548,424828,4280,85,3563
15,441905,445510,3605,85,3560
16,460290,464214,3924,85,3563
17,478766,482340,3574,85,3565
18,496734,500184,3450,85,3555
19,514456,517805,3349,85,3561
20,532468,536852,4384,85,3557
21,550293,554021,3728,85,3559
22,570288,573589,3301,85,3552
23,588538,592452,3914,85,3572
24,606507,610125,3618,85,3550
25,623106,627561,4455,85,3560
26,641615,644956,3341,85,3563
27,659767,663496,3729,85,3553
28,676681,682396,5715,85,3562
29,698568,701995,3427,85,3561
30,716773,720122,3349,85,3559
31,732524,736116,3592,85,3558
32,748309,751612,3303,85,3556
33,761988,763706,1718,8,794
