BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,97173,107291,10118,170,6056
2,153235,162220,8985,170,6263
3,199899,209215,9316,170,6262
4,238966,251417,12451,170,6261
5,280269,290365,10096,170,6263
6,315331,324551,9220,170,6324
7,356770,366225,9455,170,6600
8,393944,403340,9396,170,6605
9,429880,437763,7883,170,6602
10,463713,478797,15084,170,6600
11,503178,510539,7361,170,6593
12,533685,541315,7630,170,6604
13,563100,570729,7629,170,6605
14,591560,599877,8317,170,6597
15,620270,627977,7707,170,6602
16,646137,654284,8147,170,6596
17,667466,669493,2027,8,794
