BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2220873,6270327,4049454,157914,6059433
2,8398584,12245369,3846785,157914,6281758
3,14299122,18036012,3736890,157914,6281949
4,19947020,23652388,3705368,157914,6281815
5,25550220,29283964,3733744,157914,6282369
6,31209962,34916767,3706805,157914,6282285
7,37014230,40852219,3837989,157914,6492828
8,42801771,46620243,3818472,157914,6597889
9,48417952,52292045,3874093,157914,6597683
10,54331147,58170360,3839213,157914,6597963
11,60018215,63890103,3871888,157914,6597618
12,65682811,69522185,3839374,157914,6597655
13,71317101,75172260,3855159,157914,6597841
14,76987022,80811981,3824959,157914,6597860
15,82649218,86557361,3908143,157914,6597791
16,88527514,92371471,3843957,157914,6598306
17,92404171,92406241,2070,5,711
