BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,79350,85844,6494,85,3200
2,122367,127953,5586,85,3374
3,161089,166880,5791,85,3390
4,188283,196473,8190,85,3391
5,220425,226044,5619,85,3391
6,246837,252698,5861,85,3389
7,278487,284344,5857,85,3387
8,309056,315829,6773,85,3392
9,334683,340143,5460,85,3392
10,357280,363630,6350,85,3389
11,380590,386032,5442,85,3397
12,403563,410143,6580,85,3445
13,430193,435420,5227,85,3555
14,455573,461094,5521,85,3563
15,478655,483989,5334,85,3560
16,500016,505665,5649,85,3563
17,525359,531229,5870,85,3565
18,546233,552375,6142,85,3555
19,567659,573506,5847,85,3561
20,588771,594571,5800,85,3557
21,609795,619404,9609,85,3559
22,633356,638744,5388,85,3552
23,657123,662881,5758,85,3572
24,681785,686369,4584,85,3550
25,705188,711077,5889,85,3560
26,727239,733546,6307,85,3563
27,752044,755873,3829,85,3553
28,770235,778437,8202,85,3562
29,792687,796568,3881,85,3561
30,810891,820359,9468,85,3559
31,833612,837379,3767,85,3558
32,854519,862091,7572,85,3556
33,875950,878002,2052,8,794
