BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,16566097,42421646,25855549,1223170,48879695
2,62898788,89319265,26420477,1223170,51101669
3,107910674,134196426,26285752,1223170,51101842
4,151434579,177803713,26369134,1223170,51101574
5,195538698,221975671,26436973,1223170,51101296
6,240928018,267431168,26503150,1223170,51103156
7,285065320,311637183,26571863,1223170,51068888
8,329905669,356402456,26496787,1223170,50866147
9,376343660,402372059,26028399,1223170,56922704
10,422314435,448195987,25881552,1223170,58207424
11,468589149,494519991,25930842,1223170,58206579
12,513428491,539288125,25859634,1223170,58206279
13,558085043,584146358,26061315,1223170,58205566
14,602973865,629064089,26090224,1223170,58061685
15,646852106,672869955,26017849,1223170,57701308
16,690686925,716483415,25796490,1223170,57700116
17,716504982,716506901,1919,3,643
