BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,15932969,51959961,36026992,1223170,48879695
2,70084739,103829056,33744317,1223170,51101669
3,121821968,155943813,34121845,1223170,51101842
4,173105701,208087154,34981453,1223170,51101574
5,225767595,259849084,34081489,1223170,51101296
6,278593916,312936035,34342119,1223170,51103156
7,329918214,364786648,34868434,1223170,51068888
8,382908193,416549575,33641382,1223170,50866147
9,436331964,468689137,32357173,1223170,56922704
10,488992441,520831203,31838762,1223170,58207424
11,540512484,571969069,31456585,1223170,58206579
12,591064152,624618931,33554779,1223170,58206279
13,643289061,675981549,32692488,1223170,58205566
14,695051184,728118000,33066816,1223170,58061685
15,745920128,777223588,31303460,1223170,57701308
16,794856313,828084045,33227732,1223170,57700116
17,828207880,828244995,37115,3,643
