BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,18038782,43891772,25852990,1223170,48879695
2,78928367,105292889,26364522,1223170,51101669
3,142355974,168619595,26263621,1223170,51101842
4,204358170,230739490,26381320,1223170,51101574
5,265473244,291314675,25841431,1223170,51101296
6,330173733,356916368,26742635,1223170,51103156
7,394049526,419890317,25840791,1223170,51068888
8,456960691,482657976,25697285,1223170,50866147
9,524521082,550033998,25512916,1223170,56922704
10,592109404,617289508,25180104,1223170,58207424
11,658399176,683784447,25385271,1223170,58206579
12,723661446,748872775,25211329,1223170,58206279
13,789842088,815312233,25470145,1223170,58205566
14,856310056,880858640,24548584,1223170,58061685
15,918767768,942988000,24220232,1223170,57701308
16,981082180,1005334184,24252004,1223170,57700116
17,1005375933,1005388187,12254,3,643
