BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2165823,7315203,5149380,157914,6059433
2,9357877,14222384,4864507,157914,6281758
3,16064337,20722783,4658446,157914,6281949
4,22433171,27032802,4599631,157914,6281815
5,28826576,33441628,4615052,157914,6282369
6,35218001,39953978,4735977,157914,6282285
7,41868150,46544772,4676622,157914,6492828
8,48470623,53370102,4899479,157914,6597889
9,55151715,59982413,4830698,157914,6597683
10,61912056,66817667,4905611,157914,6597963
11,68606503,73360569,4754066,157914,6597618
12,75137045,79974771,4837726,157914,6597655
13,81770674,86586262,4815588,157914,6597841
14,88360306,93136166,4775860,157914,6597860
15,94921473,99625865,4704392,157914,6597791
16,101507271,106311425,4804154,157914,6598306
17,106336379,106338808,2429,5,711
