BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,72172,83261,11089,85,3200
2,126077,131567,5490,85,3374
3,166555,172713,6158,85,3390
4,194572,203888,9316,85,3391
5,228164,233785,5621,85,3391
6,255817,261548,5731,85,3389
7,284172,290255,6083,85,3387
8,311974,319103,7129,85,3392
9,337641,343133,5492,85,3392
10,360615,365743,5128,85,3389
11,386285,391394,5109,85,3397
12,409286,414378,5092,85,3445
13,434344,440486,6142,85,3555
14,461802,467521,5719,85,3563
15,486188,492812,6624,85,3560
16,510834,514970,4136,85,3563
17,531476,537230,5754,85,3565
18,552681,558429,5748,85,3555
19,577827,583395,5568,85,3561
20,598685,602604,3919,85,3557
21,616532,622192,5660,85,3559
22,636051,641923,5872,85,3552
23,656059,661268,5209,85,3572
24,675618,681401,5783,85,3550
25,695201,703113,7912,85,3560
26,716773,722679,5906,85,3563
27,737186,740928,3742,85,3553
28,754663,761673,7010,85,3562
29,779439,783123,3684,85,3561
30,797573,803472,5899,85,3559
31,816724,820336,3612,85,3558
32,833431,839647,6216,85,3556
33,852511,862106,9595,8,794
