BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,94470,104139,9669,170,6056
2,148807,158732,9925,170,6263
3,194503,203645,9142,170,6262
4,233922,246294,12372,170,6261
5,275296,285151,9855,170,6263
6,310084,319335,9251,170,6324
7,349346,358782,9436,170,6600
8,387458,396198,8740,170,6605
9,417399,426449,9050,170,6602
10,447432,473226,25794,170,6600
11,491852,498851,6999,170,6593
12,521433,530591,9158,170,6604
13,549176,556807,7631,170,6605
14,575174,582785,7611,170,6597
15,601372,610884,9512,170,6602
16,628117,636021,7904,170,6596
17,648446,652647,4201,8,794
