BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,3294558,6860427,3565869,157914,6059433
2,10679518,13941112,3261594,157914,6281758
3,17774729,20854464,3079735,157914,6281949
4,24275722,27522411,3246689,157914,6281815
5,31280397,34560033,3279636,157914,6282369
6,38226160,41718904,3492744,157914,6282285
7,43801876,47026435,3224559,157914,6492828
8,49047381,52465111,3417730,157914,6597889
9,56252965,59559879,3306914,157914,6597683
10,61598415,64701548,3103133,157914,6597963
11,66339895,69812863,3472968,157914,6597618
12,71476982,74765714,3288732,157914,6597655
13,76469433,79819604,3350171,157914,6597841
14,81502047,84788348,3286301,157914,6597860
15,86481186,90032467,3551281,157914,6597791
16,91994113,95389462,3395349,157914,6598306
17,95423419,95425906,2487,5,711
