BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2209340,6254684,4045344,157914,6059433
2,8311477,12228796,3917319,157914,6281758
3,14248461,18030236,3781775,157914,6281949
4,19938124,23649146,3711022,157914,6281815
5,25580577,29314505,3733928,157914,6282369
6,31155498,34874564,3719066,157914,6282285
7,37002836,40802666,3799830,157914,6492828
8,42749623,46550952,3801329,157914,6597889
9,48357875,52210665,3852790,157914,6597683
10,54183384,58012036,3828652,157914,6597963
11,59852019,63726729,3874710,157914,6597618
12,65591968,69401307,3809339,157914,6597655
13,71210099,75113544,3903445,157914,6597841
14,76914902,80750225,3835323,157914,6597860
15,82549871,86382251,3832380,157914,6597791
16,88310199,92153515,3843316,157914,6598306
17,92180622,92186555,5933,5,711
