BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,4203023,15292394,11089371,315828,12340673
2,19412096,27115107,7703011,315828,12563246
3,30672173,39069359,8397186,315828,12564136
4,43064214,51348159,8283945,315828,13090199
5,55814795,64075801,8261006,315828,13195128
6,68746371,76507582,7761211,315828,13194755
7,80933347,89326023,8392676,315828,13195183
8,93755535,102301787,8546252,315828,13195579
9,102365194,102389378,24184,5,711
