BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,2199258,6229445,4030187,157914,6059433
2,8302923,12205901,3902978,157914,6281758
3,14121012,17863060,3742048,157914,6281949
4,19606931,23329158,3722227,157914,6281815
5,25222189,28924083,3701894,157914,6282369
6,30700811,34430837,3730026,157914,6282285
7,36402589,40238232,3835643,157914,6492828
8,42276545,46247767,3971222,157914,6597889
9,48049407,51852460,3803053,157914,6597683
10,53775434,57705616,3930182,157914,6597963
11,59577273,63419549,3842276,157914,6597618
12,65266705,69127119,3860414,157914,6597655
13,70943715,74883549,3939834,157914,6597841
14,76701877,80548632,3846755,157914,6597860
15,82345256,86232632,3887376,157914,6597791
16,88187911,92043807,3855896,157914,6598306
17,92070955,92073084,2129,5,711
