BatchNumber,StartTime(microseconds), EndTime(microseconds), Duration(microseconds), Size (Operations), Size (Bytes)
1,164971,180478,15507,170,6056
2,263428,273011,9583,170,6263
3,345033,355370,10337,170,6262
4,407448,433373,25925,170,6261
5,489637,503524,13887,170,6263
6,551691,562466,10775,170,6324
7,616918,629901,12983,170,6600
8,682488,694121,11633,170,6605
9,739259,754011,14752,170,6602
10,799201,809878,10677,170,6600
11,850464,860471,10007,170,6593
12,907057,920284,13227,170,6604
13,962530,972676,10146,170,6605
14,1010051,1023537,13486,170,6597
15,1065621,1077502,11881,170,6602
16,1119979,1133252,13273,170,6596
17,1162718,1164721,2003,8,794
